circle_color,answer_correct,need_action,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,intrpduction.started,intrpduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,intro_A.started,key_resp_2.started,intro_A.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,focus.started,polygon_4.started,polygon_4.stopped,focus.stopped,black.started,black.stopped,text_A.started,polygon.started,key_resp_3.started,polygon.stopped,key_resp_3.stopped,text_A.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,feedback1.started,text_3.started,key_resp_9.started,feedback1.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,intro_B.started,text_4.started,key_resp_5.started,intro_B.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,focus2.started,polygon_5.started,polygon_5.stopped,focus2.stopped,black2.started,text_5.started,black2.stopped,textB.started,polygon_2.started,key_resp_4.started,textB.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,text_5.stopped,polygon_2.stopped,key_resp_4.stopped,feedback2.started,text_6.started,key_resp_10.started,feedback2.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,intro_C.started,key_resp_6.started,intro_C.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,focus3.started,polygon_6.started,polygon_6.stopped,focus3.stopped,black3.started,text_8.started,text_8.stopped,black3.stopped,texkC.started,polygon_3.started,key_resp_7.started,polygon_3.stopped,key_resp_7.stopped,texkC.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,feedback3.started,text_9.started,key_resp_8.started,feedback3.stopped,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
blue,f,0,,,,,0,6,6,3,,,,,104.66546519999974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.66010989999995,104.66546519999974,108.65843519999999,108.65298389999953,108.65299739999955,108.65843519999999,109.04869839999992,109.04870649999975,109.0543846999999,109.0543846999999,112.04186469999968,None,,,109.0543846999999,112.04870729999948,112.04870729999948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
red,j,1,,,,,0,7,7,4,,,,,112.04870729999948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0420365,112.04870729999948,116.04039829999965,116.0349524000003,116.03496509999968,116.04039829999965,116.43067549999978,116.4306846999998,116.43618059999972,116.43618059999972,119.42385139999988,None,,,116.43618059999972,119.42924589999984,119.42924589999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
blue,f,0,,,,,0,8,8,7,,,,,119.42924589999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.42402579999998,119.42924589999984,123.42225919999964,123.41672349999953,123.41673609999998,123.42225919999964,123.81269299999985,123.81270309999945,123.81823129999975,123.81823129999975,126.80570569999963,None,,,123.81823129999975,126.81123089999983,126.81123089999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
blue,f,0,,,,,0,9,9,9,,,,,126.81123089999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.80586930000027,126.81123089999983,128.80428959999972,128.7988104999995,128.79882309999994,128.80428959999972,129.19485519999944,129.19486379999944,129.20021970000016,129.20021970000016,132.18755799999963,None,,,129.20021970000016,132.20012769999994,132.20012769999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.1876489999995,132.20012769999994,132.20012769999994,134.03649870000027,space,1.8328381999999692,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.03651960000025,134.04043050000018,136.58469760000025,space,2.5412475000002814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
red,j,1,,,,,,,,,0,0,0,6,136.60238519999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.59492090000003,136.60238519999984,139.60022769999978,139.5872300000001,139.58724900000016,139.60022769999978,139.99205319999965,139.98673739999958,139.98674759999994,139.99205319999965,139.99205319999965,142.99490349999996,142.99490349999996,142.98370199999954,None,0,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
blue,f,0,,,,,,,,,0,1,1,1,142.99490349999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.98409619999984,142.99490349999996,146.98488069999985,146.97964309999952,146.9796567000003,146.98488069999985,147.3807128999997,147.37517639999987,147.3751857999996,147.3807128999997,147.3807128999997,150.3737076999996,150.3737076999996,150.3682017000001,None,0,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
red,j,1,,,,,,,,,0,2,2,2,150.3737076999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.36841120000008,150.3737076999996,152.36683389999962,152.3611536999997,152.36116609999954,152.36683389999962,152.76257609999993,152.75707799999964,152.7570872999995,152.76257609999993,152.76257609999993,,,153.99151019999954,j,1,1.2168871000003492,None,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
blue,f,0,,,,,,,,,0,3,3,3,153.99892639999962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.99208139999973,153.99892639999962,155.99172369999997,155.98628420000023,155.98629710000023,155.99172369999997,156.3877567999998,156.38211769999998,156.38212680000015,156.3877567999998,156.3877567999998,159.3807195999998,159.3807195999998,159.37524800000028,None,0,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
blue,f,0,,,,,,,,,0,4,4,7,159.3807195999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.3754511999996,159.3807195999998,161.37366070000007,161.36825119999958,161.36826370000017,161.37366070000007,161.76990409999962,161.76392269999997,161.7639323000003,161.76990409999962,161.76990409999962,164.76255159999982,164.76255159999982,164.75704179999957,None,0,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
blue,f,0,,,,,,,,,0,5,5,5,164.76255159999982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.75724629999968,164.76255159999982,166.75573179999992,166.7508012999997,166.75081529999989,166.75573179999992,167.15147629999956,167.14600270000028,167.1460122999997,167.15147629999956,167.15147629999956,170.14450429999943,170.14450429999943,170.13919799999985,None,0,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
blue,f,0,,,,,,,,,0,6,6,9,170.14450429999943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.13939500000015,170.14450429999943,174.13764379999975,174.1319811000003,174.1319937999997,174.13764379999975,174.5334012000003,174.52805290000015,174.5280616,174.5334012000003,174.5334012000003,177.5264013999995,177.5264013999995,177.52105130000018,None,0,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
red,j,1,,,,,,,,,0,7,7,4,177.5264013999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.52124749999984,177.5264013999995,179.51946270000008,179.5141209000003,179.5141324999995,179.51946270000008,179.91535980000026,179.90974649999953,179.90975509999953,179.91535980000026,179.91535980000026,,,180.27652489999946,j,1,0.35304120000000694,None,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
red,j,1,,,,,,,,,0,8,8,8,180.28316579999955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.2768328000002,180.28316579999955,183.2764557999999,183.27085530000022,183.2708676000002,183.2764557999999,183.67230440000003,183.66672190000008,183.6667306999998,183.67230440000003,183.67230440000003,186.6653569,186.6653569,186.65987419999965,None,0,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
red,j,1,,,,,,,,,0,9,9,0,186.6653569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.66007170000012,186.6653569,189.65837629999987,189.6527828999997,189.6527956,189.65837629999987,190.05436779999945,190.04868929999975,190.04869839999992,190.05436779999945,190.05436779999945,193.05359659999976,193.05359659999976,193.04182089999995,None,0,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.04196559999946,193.05359659999976,193.05359659999976,210.54926369999976,space,0,17.491544799999247,None,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
